year,month,total_precip_mm,date
1988,6,138.2,1988-06-01
1988,7,165.6,1988-07-01
1988,8,36.9,1988-08-01
1988,9,73.1,1988-09-01
1988,10,250.6,1988-10-01
1988,11,218.6,1988-11-01
1988,12,59.4,1988-12-01
1989,1,105.2,1989-01-01
1989,2,155.6,1989-02-01
1989,3,113.8,1989-03-01
1989,4,77.2,1989-04-01
1989,5,140.9,1989-05-01
1989,6,156.3,1989-06-01
1989,7,104.2,1989-07-01
1989,8,58.7,1989-08-01
1989,9,130.0,1989-09-01
1989,10,137.1,1989-10-01
1989,11,173.8,1989-11-01
1989,12,64.0,1989-12-01
1990,1,129.5,1990-01-01
1990,2,132.0,1990-02-01
1990,3,62.4,1990-03-01
1990,4,207.8,1990-04-01
1990,5,147.8,1990-05-01
1990,6,106.6,1990-06-01
1990,7,61.8,1990-07-01
1990,8,55.8,1990-08-01
1990,9,97.8,1990-09-01
1990,10,156.6,1990-10-01
1990,11,132.4,1990-11-01
1990,12,253.2,1990-12-01
1991,1,108.2,1991-01-01
1991,2,67.4,1991-02-01
1991,3,152.4,1991-03-01
1991,4,91.8,1991-04-01
1991,5,124.8,1991-05-01
1991,6,32.4,1991-06-01
1991,7,77.8,1991-07-01
1991,8,137.2,1991-08-01
1991,9,156.5,1991-09-01
1991,10,182.8,1991-10-01
1991,11,171.5,1991-11-01
1991,12,120.6,1991-12-01
1992,1,108.2,1992-01-01
1992,2,170.8,1992-02-01
1992,3,93.6,1992-03-01
1992,4,45.6,1992-04-01
1992,5,47.8,1992-05-01
1992,6,57.4,1992-06-01
1992,7,93.2,1992-07-01
1992,8,65.0,1992-08-01
1992,9,89.0,1992-09-01
1992,10,77.2,1992-10-01
1992,11,105.2,1992-11-01
1992,12,117.3,1992-12-01
1993,1,60.0,1993-01-01
1993,2,128.2,1993-02-01
1993,3,154.7,1993-03-01
1993,4,102.2,1993-04-01
1993,5,83.8,1993-05-01
1993,6,100.4,1993-06-01
1993,7,107.0,1993-07-01
1993,8,72.6,1993-08-01
1993,9,106.8,1993-09-01
1993,10,192.8,1993-10-01
1993,11,105.8,1993-11-01
1993,12,213.4,1993-12-01
1994,1,132.0,1994-01-01
1994,2,41.8,1994-02-01
1994,3,243.2,1994-03-01
1994,4,150.4,1994-04-01
1994,5,164.2,1994-05-01
1994,6,113.2,1994-06-01
1994,7,24.8,1994-07-01
1994,8,100.0,1994-08-01
1994,9,104.6,1994-09-01
1994,10,57.5,1994-10-01
1994,11,211.2,1994-11-01
1994,12,228.9,1994-12-01
1995,1,129.6,1995-01-01
1995,2,133.0,1995-02-01
1995,3,50.7,1995-03-01
1995,4,107.2,1995-04-01
1995,5,117.6,1995-05-01
1995,6,184.0,1995-06-01
1995,7,228.7,1995-07-01
1995,8,60.0,1995-08-01
1995,9,53.4,1995-09-01
1995,10,114.4,1995-10-01
1995,11,166.8,1995-11-01
1995,12,133.7,1995-12-01
1996,1,77.2,1996-01-01
1996,2,178.6,1996-02-01
1996,3,86.3,1996-03-01
1996,4,130.0,1996-04-01
1996,5,158.1,1996-05-01
1996,6,35.8,1996-06-01
1996,7,256.0,1996-07-01
1996,8,48.2,1996-08-01
1996,9,366.9,1996-09-01
1996,10,166.2,1996-10-01
1996,11,68.7,1996-11-01
1996,12,146.6,1996-12-01
1997,1,157.9,1997-01-01
1997,2,77.0,1997-02-01
1997,3,179.2,1997-03-01
1997,4,93.9,1997-04-01
1997,5,160.6,1997-05-01
1997,6,62.9,1997-06-01
1997,7,16.4,1997-07-01
1997,8,73.6,1997-08-01
1997,9,80.4,1997-09-01
1997,10,43.2,1997-10-01
1997,11,202.0,1997-11-01
1997,12,107.8,1997-12-01
1998,1,229.9,1998-01-01
1998,2,118.7,1998-02-01
1998,3,129.7,1998-03-01
1998,4,84.8,1998-04-01
1998,5,106.4,1998-05-01
1998,6,182.9,1998-06-01
1998,7,132.5,1998-07-01
1998,8,77.6,1998-08-01
1998,9,126.8,1998-09-01
1998,10,160.8,1998-10-01
1998,11,113.0,1998-11-01
1998,12,99.2,1998-12-01
1999,1,113.3,1999-01-01
1999,2,123.3,1999-02-01
1999,3,224.7,1999-03-01
1999,4,73.3,1999-04-01
1999,5,85.7,1999-05-01
1999,6,47.3,1999-06-01
1999,7,86.6,1999-07-01
1999,8,103.8,1999-08-01
1999,9,86.1,1999-09-01
1999,10,186.8,1999-10-01
1999,11,96.9,1999-11-01
1999,12,154.9,1999-12-01
2000,1,199.8,2000-01-01
2000,2,66.9,2000-02-01
2000,3,134.9,2000-03-01
2000,4,136.3,2000-04-01
2000,5,111.0,2000-05-01
