COORDINATE,COUNTRY/PROVINCES,DGUID,GHG EMISSIONS,SECTOR,UOM,UOM_ID,VECTOR,Year
3.119,Prince Edward Island,2021A000211,23,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973543,2022
3.119,Prince Edward Island,2021A000211,35,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973543,2014
3.119,Prince Edward Island,2021A000211,49,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973543,2015
3.119,Prince Edward Island,2021A000211,59,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973543,2023
3.119,Prince Edward Island,2021A000211,73,"Total, Reconciliation with Canada's submission to the United Nations Framework Convention on Climate Change (UNFCCC)",Kilotonnes,198,v1013973543,2013
3.2,Prince Edward Island,2021A000211,746,"Total, industries",Kilotonnes,198,v1013973428,2013
3.2,Prince Edward Island,2021A000211,786,"Total, industries",Kilotonnes,198,v1013973428,2014
3.2,Prince Edward Island,2021A000211,795,"Total, industries",Kilotonnes,198,v1013973428,2015
3.2,Prince Edward Island,2021A000211,814,"Total, industries",Kilotonnes,198,v1013973428,2017
3.2,Prince Edward Island,2021A000211,827,"Total, industries",Kilotonnes,198,v1013973428,2016
3.2,Prince Edward Island,2021A000211,833,"Total, industries",Kilotonnes,198,v1013973428,2018
3.2,Prince Edward Island,2021A000211,835,"Total, industries",Kilotonnes,198,v1013973428,2023
3.2,Prince Edward Island,2021A000211,850,"Total, industries",Kilotonnes,198,v1013973428,2019
3.2,Prince Edward Island,2021A000211,882,"Total, industries",Kilotonnes,198,v1013973428,2022
3.2,Prince Edward Island,2021A000211,893,"Total, industries",Kilotonnes,198,v1013973428,2020
3.2,Prince Edward Island,2021A000211,911,"Total, industries",Kilotonnes,198,v1013973428,2021
4.1,Nova Scotia,2021A000212,12996,"Total, industries and households",Kilotonnes,198,v1013973552,2023
4.1,Nova Scotia,2021A000212,13740,"Total, industries and households",Kilotonnes,198,v1013973552,2022
4.1,Nova Scotia,2021A000212,13861,"Total, industries and households",Kilotonnes,198,v1013973552,2021
4.1,Nova Scotia,2021A000212,14081,"Total, industries and households",Kilotonnes,198,v1013973552,2020
4.1,Nova Scotia,2021A000212,16360,"Total, industries and households",Kilotonnes,198,v1013973552,2016
4.1,Nova Scotia,2021A000212,16441,"Total, industries and households",Kilotonnes,198,v1013973552,2019
4.1,Nova Scotia,2021A000212,16707,"Total, industries and households",Kilotonnes,198,v1013973552,2017
4.1,Nova Scotia,2021A000212,17052,"Total, industries and households",Kilotonnes,198,v1013973552,2015
4.1,Nova Scotia,2021A000212,17094,"Total, industries and households",Kilotonnes,198,v1013973552,2014
