NAPS_ID,Station_Name,City,Province/Territory_EN,Province_Code,Latitude,Longitude,Status,Start_Date,End_Date
52201,SAINT-SIMON,SAINT-SIMON,QUEBEC,QC,45.715614,-72.840249,0,1989-04-06,2023-08-01
52301,SAINT-FAUSTIN-LAC-CARRÉ,SAINT-FAUSTIN-LAC-CARRÉ,QUEBEC,QC,46.035,-74.48083,1,1989-11-10,
52401,PARC DE LA GATINEAU-LA PÊCHE,LA PÊCHE,QUEBEC,QC,45.622378,-76.018046,1,1989-04-17,
52601,VARENNES - CH. DE LA BARONNIE,VARENNES,QUEBEC,QC,45.722896,-73.376808,0,1994-06-18,2016-10-05
52602,VARENNES - RIEP,VARENNES,QUEBEC,QC,45.67417,-73.43833,0,2001-01-01,2011-01-14
52701,TEMISCAMING,TEMISCAMING,QUEBEC,QC,46.721389,-79.099722,0,1998-01-01,2011-12-31
52801,AUCLAIR,AUCLAIR,QUEBEC,QC,47.73333,-68.70722,1,1990-05-01,
52901,SAINT-CHARLES-GARNIER - CÔTE-OUIMET,ST-CHARLES-GARNIER,QUEBEC,QC,48.29417,-68.11361,0,1990-06-20,1997-06-12
53001,SAINTE-MARGUERITE-MARIE-2,CAUSAPSCAL,QUEBEC,QC,48.31778,-67.06833,0,1991-03-01,1997-06-12
53101,RIVIÈRE-ÉTERNITÉ-2,RIVIÈRE-ÉTERNITÉ,QUEBEC,QC,48.25222,-70.40833,0,1990-10-23,1997-06-12
53201,RÉS. F. ASHUAPMUSHUAN - PEMONCA ,LA DORÉ,QUEBEC,QC,48.80972,-72.73889,1,1990-10-01,
53301,DESCHAMBAULT,DESCHAMBAULT,QUEBEC,QC,46.682373,-71.965903,1,1991-06-08,
53401,SAINTE-CATHERINE-DE-LA-JACQUES-CARTIER,STE-CATH.-DE-J-CARTIER,QUEBEC,QC,46.83694,-71.62278,0,1995-04-10,2011-12-31
53501,SAINT-FRANÇOIS-DE-LÎLE-D'ORLÉANS,ST-FRANÇOIS-ÎLE-D'ORLÉANS,QUEBEC,QC,47.015308,-70.862523,0,1989-01-24,2020-07-17
53601,NOTRE-DAME-DU-ROSAIRE,NOTRE-DAME-DU-ROSAIRE,QUEBEC,QC,46.84889,-70.45418,1,1989-07-27,
53701,SAINT-HILAIRE-DE-DORSET,ST-HILAIRE-DE-DORSET,QUEBEC,QC,45.82486111,-70.856025,1,1990-08-01,
53801,TINGWICK,TINGWICK,QUEBEC,QC,45.905785,-71.948695,1,1989-04-01,
53901,LAC-ÉDOUARD,LAC-ÉDOUARD,QUEBEC,QC,47.64722,-72.29056,0,1991-01-01,2021-11-11
54001,FORÊT MONTMORENCY,MONTMORENCY,QUEBEC,QC,47.31667,-71.15,0,1988-05-31,1996-12-31
54101,SUTTON - CHEMIN PERKINS,SUTTON,QUEBEC,QC,45.07637,-72.67639,0,1988-12-06,1993-09-28
54102,SUTTON - ROUND TOP RIDGE,SUTTON,QUEBEC,QC,45.08861,-72.55694,0,1996-06-01,2017-04-10
54201,CHAPAIS,CHAPAIS,QUEBEC,QC,49.822282,-74.9764,1,1988-06-10,
54301,SAINTE-FRANÇOISE,STE-FRANCOISE,QUEBEC,QC,46.43333,-71.93333,0,1993-02-26,2002-12-31
54401,SAINT-ANICET,SAINT-ANICET,QUEBEC,QC,45.120624,-74.2896,1,1994-06-18,
54501,L'ASSOMPTION,L'ASSOMPTION,QUEBEC,QC,45.80942,-73.43473,0,1996-05-14,2017-07-12
54601,MURDOCHVILLE - PARC LION,MURDOCHVILLE,QUEBEC,QC,48.95472,-65.49694,0,1998-01-01,2003-02-01
54703,BÉCANCOUR - HÔTEL-DE-VILLE,BECANCOUR,QUEBEC,QC,46.35,-72.43333,0,1998-01-01,2011-12-31
54801,EASTMAN - LAC STUKELY,STUKELY-SUD,QUEBEC,QC,45.365683,-72.265099,0,1989-05-07,2016-09-13
54901,LA PATRIE,DITTON,QUEBEC,QC,45.37333,-71.250167,1,1991-01-23,
55001,MONT ST-MICHEL,MONT SAINT-MICHEL,QUEBEC,QC,46.76866,-75.432728,1,1991-01-19,
55101,SENNETERRE,SENNETERRE,QUEBEC,QC,48.431648,-77.196674,1,1992-02-25,
55201,LEMIEUX,LEMIEUX,QUEBEC,QC,46.3037,-72.060685,0,1999-09-09,2016-09-21
55301,SAINT-JEAN-SUR-RICHELIEU - L'ACADIE,SAINT-JEAN-SUR-RICHELIEU,QUEBEC,QC,45.29413,-73.34857,1,1999-08-11,
55401,TROIS RIVIÈRES - CAP-DE-LA-MADELEINE,TROIS RIVIÈRES,QUEBEC,QC,46.362425,-72.51004167,0,2001-01-01,2011-12-31
55501,FRELIGHSBURG,FRELIGHSBURG,QUEBEC,QC,45.041384,-72.856506,0,2005-05-11,2016-11-29
55502,FRELIGHSBURG-B,FRELIGHSBURG,QUEBEC,QC,45.05006,-72.86161,1,2017-01-01,
55601,MINGAN,MINGAN,QUEBEC,QC,50.27136,-64.2265,0,2005-06-23,2017-05-06
55701,LÉVIS - CHARNY,LÉVIS,QUEBEC,QC,46.709496,-71.26752,0,2006-01-01,2015-11-18
55702,LÉVIS - PARC GEORGES-MARANDA,LÉVIS,QUEBEC,QC,46.806029,-71.167506,1,2015-12-31,
55801,GRANBY - PARC POITEVIN,GRANBY,QUEBEC,QC,45.418639,-72.730667,1,2022-01-18,
60101,OTTAWA - HYDRO BUILDING,OTTAWA,ONTARIO,ON,45.42111,-75.695,0,1974-01-01,2004-12-31
