REF_DATE,GEO,DGUID,Sector,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2017,Manitoba,2021A000246,Railroad rolling stock manufacturing [BS33650],Kilotonnes,198,units,0,v1013974110,8.61,,0s,,,0
2018,Manitoba,2021A000246,Railroad rolling stock manufacturing [BS33650],Kilotonnes,198,units,0,v1013974110,8.61,,0s,,,0
2019,Manitoba,2021A000246,Railroad rolling stock manufacturing [BS33650],Kilotonnes,198,units,0,v1013974110,8.61,,0s,,,0
2020,Manitoba,2021A000246,Railroad rolling stock manufacturing [BS33650],Kilotonnes,198,units,0,v1013974110,8.61,,0s,,,0
2021,Manitoba,2021A000246,Railroad rolling stock manufacturing [BS33650],Kilotonnes,198,units,0,v1013974110,8.61,,0s,,,0
2022,Manitoba,2021A000246,Railroad rolling stock manufacturing [BS33650],Kilotonnes,198,units,0,v1013974110,8.61,,0s,,,0
2023,Manitoba,2021A000246,Railroad rolling stock manufacturing [BS33650],Kilotonnes,198,units,0,v1013974110,8.61,,0s,,,0
2013,Manitoba,2021A000246,Ship and boat building [BS33660],Kilotonnes,198,units,0,v1013974111,8.62,,0s,,,0
2014,Manitoba,2021A000246,Ship and boat building [BS33660],Kilotonnes,198,units,0,v1013974111,8.62,,0s,,,0
2015,Manitoba,2021A000246,Ship and boat building [BS33660],Kilotonnes,198,units,0,v1013974111,8.62,,0s,,,0
2016,Manitoba,2021A000246,Ship and boat building [BS33660],Kilotonnes,198,units,0,v1013974111,8.62,,0s,,,0
2017,Manitoba,2021A000246,Ship and boat building [BS33660],Kilotonnes,198,units,0,v1013974111,8.62,,0s,,,0
2018,Manitoba,2021A000246,Ship and boat building [BS33660],Kilotonnes,198,units,0,v1013974111,8.62,,0s,,,0
2019,Manitoba,2021A000246,Ship and boat building [BS33660],Kilotonnes,198,units,0,v1013974111,8.62,,0s,,,0
2020,Manitoba,2021A000246,Ship and boat building [BS33660],Kilotonnes,198,units,0,v1013974111,8.62,,0s,,,0
2021,Manitoba,2021A000246,Ship and boat building [BS33660],Kilotonnes,198,units,0,v1013974111,8.62,,0s,,,0
2022,Manitoba,2021A000246,Ship and boat building [BS33660],Kilotonnes,198,units,0,v1013974111,8.62,,0s,,,0
2023,Manitoba,2021A000246,Ship and boat building [BS33660],Kilotonnes,198,units,0,v1013974111,8.62,,0s,,,0
2013,Manitoba,2021A000246,Other transportation equipment manufacturing [BS33690],Kilotonnes,198,units,0,v1013974112,8.63,1,,,,0
2014,Manitoba,2021A000246,Other transportation equipment manufacturing [BS33690],Kilotonnes,198,units,0,v1013974112,8.63,1,,,,0
2015,Manitoba,2021A000246,Other transportation equipment manufacturing [BS33690],Kilotonnes,198,units,0,v1013974112,8.63,2,,,,0
2016,Manitoba,2021A000246,Other transportation equipment manufacturing [BS33690],Kilotonnes,198,units,0,v1013974112,8.63,1,,,,0
