"REF_DATE","GEO","DGUID","Sector","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2022","Nova Scotia","2021A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","13740","","","","0"
"2023","Nova Scotia","2021A000212","Total, industries and households","Kilotonnes","198","units","0","v1013973552","4.1","12996","","","","0"
"2013","Nova Scotia","2021A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","13974","","","","0"
"2014","Nova Scotia","2021A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","12889","","","","0"
"2015","Nova Scotia","2021A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","12345","","","","0"
"2016","Nova Scotia","2021A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","11941","","","","0"
"2017","Nova Scotia","2021A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","12140","","","","0"
"2018","Nova Scotia","2021A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","12564","","","","0"
"2019","Nova Scotia","2021A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","11841","","","","0"
"2020","Nova Scotia","2021A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","10229","","","","0"
"2021","Nova Scotia","2021A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","10085","","","","0"
"2022","Nova Scotia","2021A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","9827","","","","0"
"2023","Nova Scotia","2021A000212","Total, industries","Kilotonnes","198","units","0","v1013973553","4.2","9124","","","","0"
"2013","Nova Scotia","2021A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4533","","","","0"
"2014","Nova Scotia","2021A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4204","","","","0"
"2015","Nova Scotia","2021A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4707","","","","0"
"2016","Nova Scotia","2021A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4419","","","","0"
"2017","Nova Scotia","2021A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4567","","","","0"
"2018","Nova Scotia","2021A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4716","","","","0"
"2019","Nova Scotia","2021A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","4600","","","","0"
"2020","Nova Scotia","2021A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","3851","","","","0"
"2021","Nova Scotia","2021A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","3776","","","","0"
"2022","Nova Scotia","2021A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","3913","","","","0"
"2023","Nova Scotia","2021A000212","Total, households","Kilotonnes","198","units","0","v1013973664","4.115","3873","","","","0"
