station_id,Month,Day,Baseline Mean Temp (°C)
8202502,4,27,4.78
8202502,4,28,5.312
8202502,4,29,4.34
8202502,4,30,4.0
8202502,5,1,5.2625
8202502,5,2,5.768
8202502,5,3,5.944
8202502,5,4,5.704
8202502,5,5,5.988
8202502,5,6,7.188
8202502,5,7,8.283999999999999
8202502,5,8,7.224
8202502,5,9,6.8
8202502,5,10,6.856
8202502,5,11,6.692
8202502,5,12,6.412000000000001
8202502,5,13,6.256
8202502,5,14,7.068
8202502,5,15,9.052
8202502,5,16,8.056000000000001
8202502,5,17,7.836
8202502,5,18,7.648
8202502,5,19,8.144
8202502,5,20,8.887500000000001
8202502,5,21,10.124
8202502,5,22,9.664
8202502,5,23,9.08
8202502,5,24,9.356
8202502,5,25,9.78
8202502,5,26,10.450000000000001
8202502,5,27,10.7
8202502,5,28,10.644
8202502,5,29,11.088
8202502,5,30,10.7125
8202502,5,31,11.36
8202502,6,1,11.024000000000001
8202502,6,2,10.524000000000001
8202502,6,3,10.376
8202502,6,4,10.025
8202502,6,5,10.956521739130435
8202502,6,6,10.788
8202502,6,7,11.029166666666667
8202502,6,8,11.335999999999999
8202502,6,9,11.620833333333332
8202502,6,10,11.5875
8202502,6,11,13.312000000000001
8202502,6,12,13.607999999999999
8202502,6,13,12.54
8202502,6,14,11.872
8202502,6,15,11.4
8202502,6,16,11.948
8202502,6,17,14.16
8202502,6,18,15.5
8202502,6,19,16.02
8202502,6,20,16.672
8202502,6,21,15.32
8202502,6,22,15.292
8202502,6,23,16.6875
8202502,6,24,16.34
8202502,6,25,16.108
8202502,6,26,16.055999999999997
8202502,6,27,16.46
8202502,6,28,16.812
8202502,6,29,16.583333333333332
8202502,6,30,16.512
8202502,7,1,17.08
8202502,7,2,16.968
8202502,7,3,17.244
8202502,7,4,17.684
8202502,7,5,17.533333333333335
8202502,7,6,18.116666666666667
8202502,7,7,17.244
8202502,7,8,17.384
8202502,7,9,17.964000000000002
8202502,7,10,19.016
8202502,7,11,18.112000000000002
8202502,7,12,18.1
8202502,7,13,18.227999999999998
8202502,7,14,18.628
8202502,7,15,19.192
8202502,7,16,19.324
8202502,7,17,20.524
8202502,7,18,20.984
8202502,7,19,19.612000000000002
8202502,7,20,19.828
8202502,7,21,19.212
8202502,7,22,19.42
8202502,7,23,20.531999999999996
8202502,7,24,20.092307692307692
8202502,7,25,19.415384615384617
8202502,7,26,19.516
8202502,7,27,19.879166666666666
8202502,7,28,19.932000000000002
8202502,7,29,20.08
8202502,7,30,19.74
8202502,7,31,20.15
8202502,8,1,19.296
8202502,8,2,19.25
8202502,8,3,20.28076923076923
8202502,8,4,20.26923076923077
8202502,8,5,20.132
8202502,8,6,19.861538461538462
8202502,8,7,19.73076923076923
8202502,8,8,19.203846153846154
8202502,8,9,18.992307692307694
8202502,8,10,20.126923076923074
8202502,8,11,20.22307692307692
8202502,8,12,19.473076923076924
8202502,8,13,19.792307692307695
8202502,8,14,20.27692307692308
8202502,8,15,19.70384615384615
8202502,8,16,19.46923076923077
8202502,8,17,19.36
8202502,8,18,18.748
8202502,8,19,19.832
8202502,8,20,19.442307692307693
8202502,8,21,19.26
8202502,8,22,19.642307692307693
8202502,8,23,18.768
8202502,8,24,18.392
8202502,8,25,18.616
8202502,8,26,18.584615384615383
8202502,8,27,18.534615384615385
8202502,8,28,17.892307692307693
8202502,8,29,17.308
8202502,8,30,17.946153846153848
8202502,8,31,18.146153846153847
8202502,9,1,16.846153846153847
8202502,9,2,16.312
8202502,9,3,17.442307692307693
8202502,9,4,17.28076923076923
8202502,9,5,16.76153846153846
8202502,9,6,16.588461538461537
8202502,9,7,17.18076923076923
8202502,9,8,17.365384615384617
8202502,9,9,16.56153846153846
8202502,9,10,15.976
8202502,9,11,15.134615384615385
8202502,9,12,15.238461538461538
8202502,9,13,15.71923076923077
8202502,9,14,15.892307692307693
8202502,9,15,15.811538461538463
8202502,9,16,15.14
8202502,9,17,14.946153846153846
8202502,9,18,15.66
8202502,9,19,14.184615384615386
8202502,9,20,13.932
8202502,9,21,14.36153846153846
8202502,9,22,14.830769230769231
8202502,9,23,15.334615384615384
8202502,9,24,12.973076923076924
8202502,9,25,12.51923076923077
8202502,9,26,13.972000000000001
8202502,9,27,13.126923076923077
8202502,9,28,14.13076923076923
8202502,9,29,14.292307692307693
8202502,9,30,13.61153846153846
8202502,10,1,13.084615384615384
8202502,10,2,12.334615384615384
8202502,10,3,11.461538461538462
8202502,10,4,12.084000000000001
8202502,10,5,11.165384615384616
8202502,10,6,11.21923076923077
8202502,10,7,12.076923076923077
8202502,10,8,11.084615384615384
8202502,10,9,10.61923076923077
8202502,10,10,10.188461538461537
8202502,10,11,9.884
8202502,10,12,9.703846153846154
8202502,10,13,9.665384615384616
8202502,10,14,10.565384615384614
8202502,10,15,10.51923076923077
8202502,10,16,10.161538461538461
8202502,10,17,9.669230769230769
8202502,10,18,8.723076923076924
8202502,10,19,8.603846153846153
8202502,10,20,9.416
8202502,10,21,9.923076923076923
8202502,10,22,8.996
8202502,10,23,8.61923076923077
8202502,10,24,8.626923076923077
8202502,10,25,8.065384615384614
8202502,10,26,8.0
8202502,10,27,8.203846153846154
8202502,10,28,7.603846153846154
8202502,10,29,7.308
