Climate ID,Date,Monthly_Max_Gust_kmh,Monthly_Mean_Gust_Direction_10sdeg
8100885,2015-10-01,72.0,25.43
8100885,2015-11-01,67.0,24.95
8100885,2015-12-01,70.0,21.06
8100885,2016-01-01,67.0,24.05
8100885,2016-02-01,67.0,21.67
8100885,2016-03-01,74.0,22.0
8100885,2016-04-01,82.0,24.7
8100885,2016-05-01,54.0,20.37
8100885,2016-06-01,54.0,21.24
8100885,2016-07-01,57.0,23.81
8100885,2016-08-01,54.0,22.35
8100885,2016-09-01,70.0,23.16
8100885,2016-10-01,63.0,20.08
8100885,2016-11-01,56.0,20.33
8100885,2016-12-01,80.0,22.79
8100885,2017-01-01,83.0,23.05
8100885,2017-02-01,70.0,25.22
8100885,2017-03-01,72.0,23.25
8100885,2017-04-01,56.0,16.72
8100885,2017-05-01,63.0,14.9
8100885,2017-06-01,65.0,23.83
8100885,2017-07-01,57.0,23.5
8100885,2017-08-01,50.0,21.55
8100885,2017-09-01,50.0,22.76
8100885,2017-10-01,65.0,23.82
8100885,2017-11-01,70.0,24.5
8100885,2017-12-01,74.0,21.73
8100885,2018-01-01,69.0,24.64
8100885,2018-02-01,74.0,21.65
8100885,2018-03-01,72.0,14.46
8100885,2018-04-01,72.0,24.05
8100885,2018-05-01,78.0,23.27
8100885,2018-06-01,66.0,21.77
8100885,2018-07-01,62.0,24.38
8100885,2018-08-01,64.0,23.75
8100885,2018-09-01,85.0,25.93
8100885,2018-10-01,70.0,22.44
8100885,2018-11-01,82.0,22.48
8100885,2018-12-01,64.0,25.91
8100885,2019-01-01,63.0,22.39
8100885,2019-02-01,85.0,24.11
8100885,2019-03-01,69.0,22.83
8100885,2019-04-01,92.0,20.44
8100885,2019-05-01,64.0,17.81
8100885,2019-06-01,72.0,22.19
8100885,2019-07-01,73.0,25.95
8100885,2019-08-01,54.0,25.07
8100885,2019-09-01,61.0,24.25
8100885,2019-10-01,80.0,22.32
8100885,2019-11-01,79.0,26.59
8100885,2019-12-01,80.0,24.81
8100885,2020-01-01,65.0,26.44
8100885,2020-02-01,81.0,24.33
8100885,2020-03-01,76.0,22.75
8100885,2020-04-01,67.0,18.36
8100885,2020-05-01,70.0,24.11
8100885,2020-06-01,50.0,21.3
8100885,2020-07-01,48.0,16.5
8100885,2020-08-01,64.0,20.76
8100885,2020-09-01,69.0,25.0
8100885,2020-10-01,74.0,24.57
8100885,2020-11-01,76.0,25.78
8100885,2020-12-01,65.0,19.83
8100885,2021-01-01,73.0,25.94
8100885,2021-02-01,72.0,23.65
8100885,2021-03-01,83.0,24.96
8100885,2021-04-01,57.0,17.83
8100885,2021-05-01,69.0,21.12
8100885,2021-06-01,59.0,23.24
8100885,2021-07-01,63.0,19.94
8100885,2021-08-01,75.0,23.89
8100885,2021-09-01,68.0,24.83
8100885,2021-10-01,55.0,19.0
8100885,2021-11-01,73.0,25.38
8100885,2021-12-01,84.0,23.91
8100885,2022-01-01,82.0,26.11
8100885,2022-02-01,75.0,24.8
8100885,2022-03-01,85.0,22.48
8100885,2022-04-01,73.0,22.83
8100885,2022-05-01,65.0,18.2
8100885,2022-06-01,51.0,16.85
8100885,2022-07-01,58.0,26.15
8100885,2022-08-01,72.0,21.11
8100885,2022-09-01,73.0,26.29
8100885,2022-10-01,63.0,21.26
8100885,2022-11-01,83.0,22.08
8100885,2022-12-01,93.0,16.75
8100885,2023-01-01,73.0,23.63
8100885,2023-02-01,91.0,24.22
8100885,2023-03-01,67.0,18.84
8100885,2023-04-01,73.0,18.92
8100885,2023-05-01,74.0,23.11
8100885,2023-06-01,51.0,15.06
8100885,2023-07-01,50.0,18.06
8100885,2023-08-01,52.0,22.15
8100885,2023-09-01,63.0,20.15
8100885,2023-10-01,71.0,22.53
8100885,2023-11-01,58.0,27.0
8100885,2023-12-01,61.0,25.89
8100885,2024-01-01,86.0,24.9
8100885,2024-02-01,69.0,26.19
8100885,2024-03-01,73.0,17.74
8100885,2024-04-01,74.0,20.41
8100885,2024-05-01,51.0,15.38
8100885,2024-06-01,52.0,18.04
8100885,2024-07-01,52.0,28.13
8100885,2024-08-01,51.0,27.9
8100885,2024-09-01,53.0,26.73
8100885,2024-10-01,60.0,24.95
8100885,2024-11-01,53.0,22.45
