NAPS_ID,Station_Name,City,Province/Territory_EN,Province_Code,Latitude,Longitude,Status,Start_Date,End_Date
62601,SIMCOE - EXPERIMENTAL FARM,SIMCOE,ONTARIO,ON,42.85685,-80.26964,1,1980-01-01,
63001,BURLINGTON - HWY 2 & NORTH SHORE BLVD.,BURLINGTON,ONTARIO,ON,43.314575,-79.80275556,1,1980-01-01,
63301,DORSET - HWY 117 & PAINT LAKE RD.,DORSET,ONTARIO,ON,45.224278,-78.932944,1,1981-04-14,
63601,LONGWOODS CONS. AUTHORITY,LONGWOODS,ONTARIO,ON,42.88333,-81.48333,1,1988-02-18,
63701,GRAND BEND - POINT BLAKE CONSERVATION AUTHORITY,GRAND BEND,ONTARIO,ON,43.33318611,-81.74282222,1,1993-01-01,
64001,EXPERIMENTAL LAKES AREA,EXP. LAKES AREA,ONTARIO,ON,49.66389,-93.72111,1,1988-05-09,
64101,ALGOMA,ALGOMA,ONTARIO,ON,47.03361,-84.37889,0,1988-05-17,2024-05-08
64102,SEARCHMONT,SEARCHMONT,ONTARIO,ON,46.765945,-84.033624,1,2023-12-07,
64401,EGBERT,EGBERT,ONTARIO,ON,44.23106,-79.7831,1,1988-07-26,
65001,BARRIE - OLD PUC,BARRIE,ONTARIO,ON,44.38231389,-79.70243056,1,2001-12-01,
65101,NEWMARKET - EAGLE ST. & MCAFFREY RD.,NEWMARKET,ONTARIO,ON,44.04431,-79.48325,1,2001-06-01,
65201,PARRY SOUND - 7 BAY ST.,PARRY SOUND,ONTARIO,ON,45.33786,-80.03817,1,2001-04-01,
65301,PORT STANLEY - ELGIN WATER TREATMENT PLANT,PORT STANLEY,ONTARIO,ON,42.67208,-81.16289,1,2002-06-05,
65401,BELLEVILLE - WATER TREATMENT PLANT,BELLEVILLE,ONTARIO,ON,44.15053,-77.3955,1,2002-08-01,
65801,CHATHAM - 435 GRAND AVENUE W.,CHATHAM,ONTARIO,ON,42.40369,-82.20831,1,2005-01-01,
65901,PICKLE LAKE,PICKLE LAKE,ONTARIO,ON,51.44814,-90.21786,1,2006-03-09,
66101,BONNER LAKE,MOONBEAM,ONTARIO,ON,49.386389,-82.121389,1,2006-11-08,
66201,PETAWAWA - 1227 CLOUTHIER RD.,PETAWAWA,ONTARIO,ON,45.996722,-77.441194,0,2007-01-01,2022-01-01
67001,MILTON - 1120 MAIN ST EAST,MILTON,ONTARIO,ON,43.52965,-79.862449,1,2019-01-01,
70118,SCOTIA,WINNIPEG,MANITOBA,MB,49.93207,-97.11317,1,1976-01-24,
70119,ELLEN,WINNIPEG,MANITOBA,MB,49.89799,-97.14653,1,1978-01-24,
70203,BRANDON,BRANDON,MANITOBA,MB,49.83918,-99.9206,1,1987-01-01,
70301,FLIN FLON,FLIN FLON,MANITOBA,MB,54.76852,-101.87747,1,2002-01-01,
70501,THOMPSON WESTWOOD,THOMPSON,MANITOBA,MB,55.74719,-97.87353,0,2011-01-01,2020-06-23
80111,REGINA - 1621 ALBERT,REGINA,SASKATCHEWAN,SK,50.4527,-104.616,1,2011-01-15,
80211,SASKATOON - CORMAN PARK,SASKATOON,SASKATCHEWAN,SK,52.13613,-106.66293,1,1992-11-06,
80402,PRINCE ALBERT - 12TH,PRINCE ALBERT,SASKATCHEWAN,SK,53.201694,-105.75203,1,2005-01-01,
80502,ESTEVAN - 1a,ESTEVAN,SASKATCHEWAN,SK,49.13235,-102.98499,1,2017-02-03,
