NAPS_ID,Station_Name,Status,Location_Address,City,Province/Territory,Postal_Code,Timezone_UTC,Latitude,Longitude,Elevation_m,Start_Date,End_Date
50404,SHERBROOKE - PARC-CAMBRON,0,"655, RUE PAPINEAU",SHERBROOKE,QUEBEC,J1E 1Y6,-5,45.41231,-71.8746,211,9/24/2003,2/23/2022
50405,SHERBROOKE - PARC SYLVIE-DAIGLE,1,360 RUE TERRILL,SHERBROOKE,QUEBEC,J1E 3S7,-5,45.414361,-71.882694,212,3/16/2023,
50504,SAGUENAY - UQAC,1,"789 BOUL DES ETUDIANTS, CHICOUTIMI",SAGUENAY,QUEBEC,G7H 6M3,-5,48.416374,-71.052412,82,9/24/2002,
50601,ROUYN-NORANDA - HOTEL DE VILLE,0,"100, RUE TASCHEREAU, E.",ROUYN-NORANDA,QUEBEC,,-5,48.23704,-79.01706,292,10/25/1974,9/9/1992
50602,ROUYN-NORANDA - ÉCOLE LOOSEMORE,0,218 RUE PORTAGE,ROUYN-NORANDA,QUEBEC,,-5,48.23333,-79.01139,299,10/29/1992,11/29/2002
50604,ROUYN-NORANDA - PARC TREMBLAY,1,1570 RUE PARADIS,ROUYN-NORANDA,QUEBEC,J9X 5V2,-5,48.234087,-78.982778,289,1/1/2001,
50701,SEPT-ÎLES - DE QUEN,0,"546, DEQUEN",SEPT-ÎLES,QUEBEC,,-5,50.20984,-66.38546,3,1/28/1975,9/30/1984
50702,SEPT-ÎLES,1,"675, RUE ANDRÉ MATHIEU",SEPT-ÎLES,QUEBEC,G4R 2B9,-5,50.216266,-66.385195,7,7/16/2024,
50801,TROIS-RIVIÈRES - URSULINES,0,FACE AU 678 RUE HART,TROIS RIVIÈRES,QUEBEC,G9A 4R8,-5,46.34806,-72.5375,11,7/1/1975,6/21/2011
50802,TROIS-RIVIÈRES - DES DRAVEURS,0,AVENUE DES DRAVEURS,TROIS RIVIÈRES,QUEBEC,G9A 4R8,-5,46.35103,-72.53904,11,9/1/2011,6/25/2014
50803,TROIS-RIVIÈRES - ÉCOLE MEES,1,RUE WHITEHEAD,TROIS RIVIÈRES,QUEBEC,G9A 3M1,-5,46.357175,-72.546187,12,8/1/2014,
50901,SAGUENAY - POWELL,0,"POWELL (ARVIDA), JONQUIERE",SAGUENAY,QUEBEC,,-5,48.43611,-71.19861,92,6/19/1975,9/29/1992
50902,SAGUENAY - PARC POWELL,1,"2885 BERTHIER (ARVIDA), JONQUIERE",SAGUENAY,QUEBEC,G7S 2J6,-5,48.43389,-71.18454,93,4/4/1989,
51001,SOREL-TRACY - LA FLÈCHE,0,"ECOLE LAVOIE, 3224 LA FLECHE, TRACY",SOREL-TRACY,QUEBEC,,-5,46.0175,-73.15889,11,1/1/1977,7/24/1984
51111,DRUMMONDVILLE - STADE JACQUES-DESAUTELS,1,875 RUE MARCHAND,DRUMMONDVILLE,QUEBEC,J2C 7S5,-5,45.871345,-72.50309,79,12/31/2021,
51201,SHAWINIGAN - SAINT-MARC,1,363 RUE FRIGON,SHAWINIGAN,QUEBEC,G9N 3X4,-5,46.55444,-72.73556,113,8/4/1977,
51301,BAIE-COMEAU - SAINTE-AMÉLIE,0,"39, RUE MARQUETTE",BAIE-COMEAU,QUEBEC,G4Z 1K4,-5,49.21916,-68.14829,37,7/26/1977,8/14/1983
51302,BAIE-COMEAU - CENTRE CULTUREL,0,"39, AVENUE MANCE",BAIE-COMEAU,QUEBEC,G4Z 1M6,-5,49.2175,-68.14722,48,1/1/1987,7/10/2001
51401,SAINT-ÉTIENNE-DE-BEAUHARNOIS,0,135 DUPUIS,SAINT-ÉTIENNE-DE-BEAUHARNOIS,QUEBEC,,-5,45.25,-73.91667,37,5/30/1984,10/13/1987
51501,SAINT-ZÉPHIRIN-DE-COURVAL,1,701 RANG SAINT-MICHEL,ST. ZÉPHIRIN-DE-COURVAL,QUEBEC,J0G 1V0,-5,46.04223333,-72.65976111,50,5/21/1987,
51601,ST-FRANÇOIS-ÎLE-D'ORLÉANS - ARGENTENAY,0,"POINTE D'ARGENTENAY, STE-FOY",ST-FRANÇOIS-ÎLE-D'ORLÉANS,QUEBEC,,-5,47.01667,-70.8,7,6/23/1987,10/13/1987
51701,SAINT-BARNABÉ,0,"2E RANG, ST-BARNABE-NORD",ST-BARNABÉ,QUEBEC,,-5,46.48333,-72.88333,123,5/20/1987,10/14/1987
51801,SAINT-JOSEPH-DE-SOREL - ÉCOLE MARTEL,0,FACE AU 113 LEON-XIII,SAINT-JOSEPH-DE-SOREL,QUEBEC,,-5,46.045,-73.12972,12,10/1/1992,12/31/2009
51802,SOREL -TRACY - VIEUX-SOREL,0,80 RUE GEORGE,SOREL-TRACY,QUEBEC,J3P 1C1,-5,46.04472,-73.11389,11,1/1/1998,12/31/2011
51901,FORESTVILLE - ROUTE 385,0,"15 KM, ROUTE 385",FORESTVILLE,QUEBEC,,-5,48.85583,-69.09778,170,9/23/1992,6/12/1997
52001,CHARETTE,1,AU NORD DU 170 2E RANG,CHARETTE,QUEBEC,G0X 1EO,-5,46.4416,-72.89241,114,1/1/1989,
